Logit_True,Logit_Max_Incorrect,Gap
0.9230449,0.7608936,0.16215134
0.7505884,0.86499697,-0.11440855
0.55640566,0.7350815,-0.17867583
0.98567927,0.88900673,0.096672535
0.9321613,0.9581001,-0.025938809
0.93301857,0.9582372,-0.025218606
0.871257,0.8594238,0.011833191
0.1730369,0.8432082,-0.67017126
0.79134315,0.7116562,0.07968694
0.91626275,0.9506469,-0.03438413
0.9181459,0.96241605,-0.044270158
0.9351063,0.94146466,-0.006358385
0.9438473,0.95788324,-0.01403594
0.82424825,0.951274,-0.12702572
0.8568775,0.9715103,-0.114632785
0.91214573,0.9569573,-0.044811547
0.92467004,0.9400892,-0.015419185
0.98424965,0.9395391,0.044710577
0.8901087,0.9571784,-0.06706971
0.74393904,0.9545069,-0.21056783
0.86812377,0.975961,-0.10783726
0.9719873,0.68109185,0.29089546
0.9222778,0.90901035,0.0132674575
0.7092491,0.90809846,-0.19884938
0.9577818,0.94868773,0.0090940595
0.8870994,0.8567805,0.030318856
0.85569394,0.8016857,0.054008245
0.84224576,0.9076973,-0.06545156
0.7961652,0.7584783,0.037686944
0.8492335,0.95558524,-0.10635173
0.8842723,0.9693864,-0.08511412
0.8500555,0.9638753,-0.11381978
0.8814962,0.9667462,-0.08525002
0.9993689,0.9479886,0.051380277
0.9932411,0.9448108,0.048430264
0.9293554,0.97916394,-0.04980856
0.9885067,0.9334243,0.05508238
0.6163416,0.7410495,-0.12470794
0.65916425,0.7677877,-0.108623445
0.9330323,0.93921125,-0.006178975
0.97432876,0.70633686,0.2679919
0.97806513,0.96556795,0.012497187
0.93366754,0.9600762,-0.026408672
0.8854536,0.87916064,0.006292939
0.8950939,0.89234424,0.0027496815
0.77171314,0.8126608,-0.040947676
0.8949862,0.903174,-0.008187771
0.88694525,0.90406656,-0.017121315
0.6560509,0.7556615,-0.09961057
0.61662304,0.76447415,-0.14785111
0.6199258,0.90013653,-0.28021073
0.9411633,0.92371154,0.017451763
0.9530593,0.96658266,-0.01352334
0.9779735,0.9048085,0.073165
0.9076033,0.90646183,0.0011414886
0.78656495,0.81869906,-0.032134116
0.9740246,0.79801655,0.17600805
0.8719996,0.8565434,0.0154562
0.87734514,0.86593705,0.011408091
0.9550675,0.95251846,0.0025490522
0.9661031,0.9544256,0.011677504
0.9039829,0.9571669,-0.053184032
0.9763489,0.9542596,0.022089303
0.98164946,0.9687147,0.012934744
0.9447313,0.85938805,0.08534324
0.9291672,0.83704424,0.09212297
0.8059844,0.89701474,-0.09103036
0.48342997,0.9569135,-0.4734835
0.9740605,0.82655704,0.14750344
0.9931864,0.95945084,0.033735573
0.9054755,0.9494713,-0.043995798
0.6620907,0.7566539,-0.094563186
0.37105006,0.6868334,-0.31578332
0.9800511,0.98522514,-0.005174041
0.9535623,0.9061838,0.04737854
0.73680997,0.84234595,-0.105535984
0.65705156,0.680439,-0.023387432
0.66661584,0.7414391,-0.07482326
0.70369184,0.7642807,-0.060588837
0.96542037,0.8448336,0.12058675
0.9289652,0.9582152,-0.029249966
0.43191943,0.6611705,-0.22925106
0.4553135,0.6823346,-0.2270211
0.8173468,0.835747,-0.018400192
0.9487776,0.96115494,-0.012377322
0.46613076,0.8281914,-0.36206064
0.9870285,0.9729246,0.014103889
0.66661584,0.7414391,-0.07482326
0.9610131,0.96141195,-0.00039887428
0.9793461,0.91045046,0.06889564
0.7990119,0.7469962,0.052015662
0.68500984,0.75538146,-0.07037163
0.96196246,0.91094553,0.051016927
0.89729017,0.9465658,-0.049275637
0.71466947,0.7496086,-0.03493911
0.97082406,0.83933735,0.13148671
0.7570126,0.879215,-0.1222024
0.93139964,0.8264912,0.10490847
0.9923787,0.99204993,0.00032877922
0.6768227,0.749146,-0.07232326
0.9890244,0.9714482,0.017576218
0.9458572,0.95712364,-0.01126641
0.9561863,0.96655923,-0.010372937
0.9772352,0.91567487,0.061560333
0.9772352,0.91567487,0.061560333
0.6698879,0.8574277,-0.18753982
0.6749855,0.8663664,-0.19138086
0.8835292,0.89441854,-0.010889351
0.76440716,0.8687406,-0.10433346
0.56811833,0.9446407,-0.37652236
0.8759745,0.89218915,-0.016214669
0.82165426,0.7679666,0.053687632
0.8676693,0.87894565,-0.011276364
0.9778833,0.87336516,0.104518116
0.84374166,0.7528571,0.09088457
0.91290665,0.9102013,0.0027053356
0.9230146,0.8375989,0.08541566
0.9581342,0.828694,0.12944019
0.9433347,0.8313449,0.111989796
0.9382268,0.90244114,0.035785675
0.9378936,0.94318336,-0.0052897334
0.96897995,0.93615353,0.032826424
0.9766464,0.91319346,0.06345296
0.9744537,0.78076303,0.19369066
0.98919654,0.92751104,0.061685503
0.9880179,0.9645664,0.023451507
0.81173515,0.89044845,-0.0787133
0.86688006,0.88423026,-0.017350197
0.9767765,0.9646201,0.012156367
0.96392965,0.8992555,0.06467414
0.8612548,0.7718862,0.08936858
0.9748328,0.9753726,-0.00053983927
0.9531459,0.97919464,-0.02604872
0.88239324,0.91995656,-0.037563324
0.98169297,0.7074661,0.27422684
0.95849866,0.9601965,-0.0016978383
0.9871936,0.95787245,0.029321134
0.96697855,0.91232383,0.054654717
0.98051685,0.9634689,0.017047942
0.81369483,0.9112258,-0.09753096
0.911493,0.93909466,-0.02760166
0.7179152,0.6368944,0.08102077
0.93378544,0.5452393,0.3885461
0.97411776,0.9803703,-0.0062525272
0.9777192,0.985117,-0.0073978305
0.97570163,0.9825383,-0.0068366528
0.97863245,0.98643553,-0.0078030825
0.99233204,0.97969097,0.012641072
0.9815514,0.96314394,0.018407464
0.9172126,0.97529864,-0.058086038
0.9512114,0.94970274,0.0015086532
0.6828654,0.75582445,-0.072959065
