Logit_True,Logit_Max_Incorrect,Gap
0.89535,0.76295066,0.13239932
0.8587672,0.8851538,-0.026386559
0.6146978,0.76677257,-0.15207475
0.98609567,0.8784412,0.10765445
0.95649624,0.97660536,-0.020109117
0.9571675,0.97493774,-0.01777023
0.88488495,0.8593806,0.02550435
0.3129048,0.86444485,-0.55154
0.79500794,0.74651206,0.04849589
0.91511285,0.95515084,-0.04003799
0.9290297,0.9659277,-0.036898017
0.9315851,0.94960505,-0.018019974
0.9482845,0.95560724,-0.0073227286
0.7870719,0.9436276,-0.15655571
0.833946,0.96519196,-0.13124597
0.91711366,0.95776623,-0.040652573
0.9153153,0.9443514,-0.029036105
0.9815407,0.9423829,0.039157808
0.93071055,0.9641876,-0.033477068
0.8427411,0.9528425,-0.1101014
0.8828883,0.97390246,-0.09101415
0.96820813,0.675148,0.29306012
0.8630902,0.8881074,-0.025017202
0.61274934,0.8722247,-0.25947535
0.944491,0.92870855,0.015782475
0.8350158,0.8263096,0.008706152
0.8221009,0.76361513,0.058485746
0.7040325,0.8707884,-0.16675591
0.816977,0.82368004,-0.006703019
0.8393927,0.94185114,-0.10245842
0.9103786,0.9800495,-0.069670916
0.8938277,0.9724718,-0.0786441
0.91485804,0.98038006,-0.065522015
0.99917823,0.9403341,0.05884415
0.99164915,0.9332471,0.05840206
0.9481343,0.9695991,-0.021464825
0.98828775,0.9321971,0.056090653
0.6024784,0.8143899,-0.2119115
0.6583322,0.8259599,-0.16762769
0.9315399,0.94081795,-0.009278059
0.96963763,0.7287454,0.24089223
0.97898823,0.97006637,0.008921862
0.95759237,0.9711052,-0.01351285
0.8219466,0.88936937,-0.06742275
0.8269793,0.8986455,-0.07166624
0.6407572,0.7619133,-0.1211561
0.6648818,0.7408667,-0.075984895
0.6529465,0.7438764,-0.090929925
0.6485119,0.8034659,-0.15495402
0.6217857,0.82198215,-0.20019644
0.6542389,0.8701733,-0.2159344
0.9447715,0.9073336,0.037437916
0.9193819,0.95297796,-0.03359604
0.9773863,0.9083992,0.06898707
0.8499769,0.91742384,-0.06744695
0.78176135,0.8178195,-0.036058128
0.95735174,0.7706889,0.18666285
0.88018996,0.8511458,0.029044151
0.8993675,0.88150764,0.017859876
0.957528,0.93996435,0.017563641
0.95609313,0.9634946,-0.0074014664
0.93261623,0.9715913,-0.03897506
0.9848344,0.96996987,0.014864504
0.9853646,0.9769521,0.00841254
0.93456197,0.83936703,0.095194936
0.9392826,0.8653736,0.073908985
0.7661034,0.87875456,-0.11265117
0.63689226,0.9354216,-0.29852933
0.96804714,0.8022272,0.16581994
0.9953802,0.9726853,0.022694945
0.932865,0.96509576,-0.032230735
0.6494954,0.7987211,-0.14922565
0.3872233,0.72526515,-0.33804184
0.9684489,0.9772905,-0.008841634
0.94651234,0.93308663,0.013425708
0.7924818,0.839586,-0.04710424
0.5378309,0.6996477,-0.16181684
0.65075773,0.76384366,-0.113085926
0.67625195,0.75119215,-0.074940205
0.92997366,0.82630885,0.103664815
0.92876047,0.9684539,-0.039693415
0.41652834,0.717842,-0.30131364
0.42174488,0.72128725,-0.29954237
0.8020324,0.8190274,-0.016995013
0.9368952,0.95551175,-0.018616557
0.53511393,0.8637485,-0.32863456
0.9828022,0.9679994,0.0148028135
0.65075773,0.76384366,-0.113085926
0.9556632,0.9630701,-0.0074068904
0.96684843,0.8863941,0.08045435
0.795063,0.647826,0.147237
0.6922263,0.7564907,-0.06426442
0.9588352,0.88189745,0.076937735
0.926471,0.9644003,-0.037929296
0.6977245,0.7534553,-0.05573076
0.95240355,0.83065903,0.12174451
0.8687988,0.9216966,-0.05289781
0.9365023,0.8267709,0.109731376
0.9935423,0.99320334,0.00033897161
0.64493763,0.83564055,-0.19070292
0.98996973,0.96818376,0.021785975
0.92077696,0.9468162,-0.026039243
0.93014336,0.961972,-0.031828642
0.97299343,0.90049756,0.07249588
0.97299343,0.90049756,0.07249588
0.6371129,0.88909584,-0.25198293
0.6489169,0.8753309,-0.22641402
0.8394299,0.8492356,-0.009805679
